name,color
Purple3,#7D26CD
Orchid,#DA70D6
CadetBlue1,#98F5FF
SpringGreen4,#008B45
Blue1,#0000FF
Burlywood4,#8B7355
Khaki3,#CDC673
RoyalBlue1,#4876FF
Maroon1,#FF34B3
Red3,#CD0000
Salmon3,#CD7054
SeaGreen3,#43CD80
Gold4,#8B7500
RoyalBlue3,#3A5FCD
Salmon2,#EE8262
SlateGray4,#6C7B8B
Chartreuse3,#66CD00
DeepSkyBlue4,#00688B
DarkSlateGray1,#97FFFF
DodgerBlue1,#1E90FF
Plum1,#FFBBFF
Turquoise4,#00868B
DarkSlateGray4,#528B8B
SlateBlue2,#7A67EE
Chartreuse4,#458B00
SeaGreen1,#54FF9F
SteelBlue4,#36648B
Tomato3,#CD4F39
Turquoise3,#00C5CD
Goldenrod3,#CD9B1D
Red1,#FF0000
Purple4,#551A8B
Yellow1,#FFFF00
Red4,#8B0000
IndianRed1,#FF6A6A
Purple,#A020F0
RosyBrown1,#FFC1C1
Maroon2,#EE30A7
CadetBlue4,#53868B
Brown1,#FF4040
Salmon4,#8B4C39
Burlywood1,#FFD39B
Khaki4,#8B864E
grey61,#9C9C9C
MediumOrchid,#BA55D3
SteelBlue3,#4F94CD
VioletRed3,#CD3278
Orchid4,#8B4789
Pink3,#CD919E
DarkGoldenrod3,#CD950C
Orchid3,#CD69C9
Gold3,#CDAD00
VioletRed2,#EE3A8C
RosyBrown3,#CD9B9B
grey31,#4F4F4F
DarkOrange3,#CD6600
MediumPurple2,#9F79EE
Cyan2,#00EEEE
SkyBlue4,#4A708B
Coral4,#8B3E2F
MediumOrchid1,#E066FF
HotPink4,#8B3A62
VioletRed1,#FF3E96
BlueViolet,#8A2BE2
PaleVioletRed4,#8B475D
MediumOrchid4,#7A378B
Maroon3,#CD2990
Yellow2,#EEEE00
Pink2,#EEA9B8
Violet,#EE82EE
Thistle4,#8B7B8B
Chocolate3,#CD661D
SlateBlue4,#473C8B
DeepPink2,#EE1289
Firebrick1,#FF3030
Aquamarine2,#76EEC6
Brown3,#CD3333
Purple2,#912CEE
DarkRed,#8B0000
Maroon4,#8B1C62
Goldenrod1,#FFC125
DarkOrchid2,#B23AEE
Coral3,#CD5B45
Firebrick3,#CD2626
Gold2,#EEC900
OrangeRed2,#EE4000
Firebrick4,#8B1A1A
Magenta3,#CD00CD
DarkSeaGreen1,#C1FFC1
DeepPink3,#CD1076
IndianRed4,#8B3A3A
Cyan1,#00FFFF
PaleTurquoise3,#96CDCD
Pink4,#8B636C
Salmon1,#FF8C69
MediumPurple,#9370DB
RoyalBlue2,#436EEE
IndianRed3,#CD5555
DarkOrange1,#FF7F00
Sienna1,#FF8247
DarkGrey,#A9A9A9
PaleVioletRed1,#FF82AB
Turquoise2,#00E5EE
Brown2,#EE3B3B
PaleTurquoise1,#BBFFFF
Burlywood2,#EEC591
Cyan4,#008B8B
DarkSeaGreen2,#B4EEB4
Cyan3,#00CDCD
DodgerBlue3,#1874CD
Magenta2,#EE00EE
DeepSkyBlue2,#00B2EE
CadetBlue2,#8EE5EE
PaleVioletRed2,#EE799F
Coral1,#FF7256
grey71,#B5B5B5
DarkMagenta,#8B008B
Plum3,#CD96CD
DarkSeaGreen3,#9BCD9B
Tomato2,#EE5C42
OliveDrab3,#9ACD32
Sienna2,#EE7942
Chocolate2,#EE7621
Thistle2,#EED2EE
OliveDrab2,#B3EE3A
DarkOliveGreen2,#BCEE68
grey51,#828282
SeaGreen2,#4EEE94
Thistle,#D8BFD8
Plum2,#EEAEEE
Thistle3,#CDB5CD
HotPink3,#CD6090
RosyBrown2,#EEB4B4
SpringGreen1,#00FF7F
Plum4,#8B668B
gray81,#CFCFCF
DarkOrchid,#9932CC
Green3,#00CD00
HotPink2,#EE6AA7
Plum,#DDA0DD
Chocolate4,#8B4513
Goldenrod2,#EEB422
Yellow4,#8B8B00
DarkOrchid4,#68228B
CadetBlue3,#7AC5CD
PaleGreen3,#7CCD7C
RosyBrown4,#8B6969
Chocolate1,#FF7F24
Thistle1,#FFE1FF
SlateGray1,#C6E2FF
IndianRed2,#EE6363
DarkOrange4,#8B4500
Gold1,#FFD700
SkyBlue2,#7EC0EE
LightGreen,#90EE90
Orange4,#8B5A00
DarkGoldenrod2,#EEAD0E
Khaki1,#FFF68F
Tomato1,#FF6347
DarkOrchid3,#9A32CD
DarkSlateGray3,#79CDCD
Goldenrod4,#8B6914
DarkOliveGreen3,#A2CD5A
Pink1,#FFB5C5
Khaki2,#EEE685
Chartreuse1,#7FFF00
Purple1,#9B30FF
MediumPurple1,#AB82FF
DodgerBlue4,#104E8B
Magenta,#FF00FF
DarkOliveGreen4,#6E8B3D
Green1,#00FF00
DarkBlue,#00008B
DarkOliveGreen1,#CAFF70
Orchid1,#FF83FA
grey21,#363636
Chartreuse2,#76EE00
MediumPurple4,#5D478B
Magenta1,#FF00FF
DarkCyan,#008B8B
SteelBlue1,#63B8FF
DarkOrange2,#EE7600
Aquamarine3,#66CDAA
HotPink1,#FF6EB4
SteelBlue2,#5CACEE
DarkViolet,#9400D3
DeepSkyBlue3,#009ACD
Orange2,#EE9A00
SkyBlue3,#6CA6CD
OrangeRed1,#FF4500
PaleGreen2,#90EE90
PaleVioletRed3,#CD6889
DarkOrchid1,#BF3EFF
OrangeRed4,#8B2500
SlateBlue3,#6959CD
PaleGreen4,#548B54
PaleGreen1,#9AFF9A
Magenta4,#8B008B
Blue4,#00008B
Brown4,#8B2323
grey11,#1C1C1C
MediumOrchid2,#D15FEE
gray91,#E8E8E8
Aquamarine4,#458B74
SlateBlue1,#836FFF
Firebrick2,#EE2C2C
Blue2,#0000EE
MediumPurple3,#8968CD
OliveDrab1,#C0FF3E
Tomato4,#8B3626
DeepPink4,#8B0A50
Sienna3,#CD6839
Orange3,#CD8500
Sienna4,#8B4726
grey41,#696969
DarkSeaGreen4,#698B69
SpringGreen2,#00EE76
SeaGreen4,#2E8B57
Orchid2,#EE7AE9
DeepSkyBlue1,#00BFFF
Orange1,#FFA500
Burlywood3,#CDAA7D
DodgerBlue2,#1C86EE
DarkGoldenrod4,#8B658B
MediumOrchid3,#B452CD
Green4,#008B00
Red2,#EE0000
SpringGreen3,#00CD66
PaleTurquoise4,#668B8B
SlateGray3,#9FB6CD
Yellow3,#CDCD00
RoyalBlue4,#27408B
Coral2,#EE6A50
Green2,#00EE00
DarkGoldenrod1,#FFB90F
DarkSlateGray2,#8DEEEE
SkyBlue1,#87CEFF
Turquoise1,#00F5FF
OrangeRed3,#CD3700
DeepPink1,#FF1493
SlateGray2,#B9D3EE
VioletRed4,#8B2252
Blue3,#0000CD
OliveDrab4,#698B22
PaleTurquoise2,#AEEEEE
Aquamarine1,#7FFFD4
